Cryptocurrency Name,Symbol,Date,Opening Price (USD),Closing Price (USD),Highest Price (USD),Lowest Price (USD),Market Capitalization (USD),Volume (24h),Total Supply,Price Change (24h%),Price Change (7d%),Blockchain Network,Popularity Rank
Avalanche,AVAX,2022-01-01 14:00:00,33030.6,49641.77,8888.78,42589.14,2512482928.04,917016792.51,232714003.79,-18.33,-29.9,Ethereum,80
Shiba Inu,SHIB,2022-01-01 15:00:00,13615.02,7689.52,45937.07,44746.85,26904693686.65,336386885.46,940906519.66,-48.01,-15.1,Cardano,84
Solana,SOL,2022-01-01 16:00:00,35627.5,12815.18,34200.17,6514.43,19714683088.26,722022866.61,431351370.32,-11.82,29.04,Cardano,81
Solana,SOL,2022-01-01 17:00:00,32137.77,41071.02,18884.27,13385.07,28877549561.95,452667852.74,760761723.43,-12.8,-32.55,Cardano,31
Dogecoin,DOGE,2022-01-01 18:00:00,20724.99,21312.54,6265.99,49313.38,77219750749.56,264824019.34,181954831.08,33.2,-20.33,Ethereum,32
Chainlink,LINK,2022-01-01 19:00:00,26629.43,41597.99,9676.27,35523.89,76452044979.81,182101705.64,702797683.42,34.78,16.86,Cardano,100
Litecoin,LTC,2022-01-01 20:00:00,41260.68,16315.86,38520.8,29897.48,67781336398.94,821563624.8,787357565.86,-18.14,27.53,Ethereum,65
Avalanche,AVAX,2022-01-01 21:00:00,28834.0,38882.22,17236.88,34525.95,73306162698.41,626243463.21,488862070.47,-17.95,-7.63,Cardano,4
Litecoin,LTC,2022-01-01 22:00:00,19521.75,22453.74,26021.77,22898.96,20986621157.86,136214663.74,210968836.0,31.43,-19.02,Binance Smart Chain,59
Avalanche,AVAX,2022-01-01 23:00:00,13201.09,45954.74,29305.04,17267.43,69524678864.36,197970860.44,759383483.58,36.79,-9.18,Binance Smart Chain,78
TRON,TRX,2022-01-02 00:00:00,36765.65,22466.13,12326.58,13644.32,45825638477.34,62291921.28,891173572.64,30.61,35.42,Ethereum,99
Litecoin,LTC,2022-01-02 01:00:00,16234.74,48965.73,40586.83,11286.33,79290105137.4,462348256.47,651029223.97,-5.03,4.3,Ethereum,49
Polkadot,DOT,2022-01-02 02:00:00,43052.9,27951.02,10748.59,49793.96,54492163992.03,683702387.44,109129042.87,43.34,-43.69,Binance Smart Chain,25
TRON,TRX,2022-01-02 03:00:00,40294.0,38348.72,6274.3,16404.16,51583346138.15,235134351.15,166309853.56,-21.22,-4.83,Cardano,50
Stellar,XLM,2022-01-02 04:00:00,3488.19,13824.42,4360.11,38157.69,44790627467.65,914782349.21,619699921.16,6.9,42.05,Ethereum,35
Litecoin,LTC,2022-01-02 05:00:00,47068.86,1254.26,25720.54,1571.62,34368986217.23,51528996.54,270214484.94,-14.02,2.56,Binance Smart Chain,56
Shiba Inu,SHIB,2022-01-02 06:00:00,42549.04,9683.47,42149.77,33411.35,24799159294.51,763961799.69,977703925.44,46.72,-42.4,Ethereum,5
Solana,SOL,2022-01-02 07:00:00,22727.27,15305.82,20732.47,5008.64,12433785998.17,605758147.15,238362879.73,-40.44,-24.09,Binance Smart Chain,22
Chainlink,LINK,2022-01-02 08:00:00,26081.26,34910.59,27724.1,38296.65,12685949457.4,888776614.12,111433779.74,4.44,49.34,Binance Smart Chain,68
TRON,TRX,2022-01-02 09:00:00,46283.23,24036.12,43502.57,30292.96,14360660896.12,905687665.3,70882992.91,22.43,37.7,Cardano,54
Dogecoin,DOGE,2022-01-02 10:00:00,8644.88,32939.06,34380.59,4502.51,55165191040.66,890813877.4,884904513.42,-31.78,12.94,Cardano,72
Dogecoin,DOGE,2022-01-02 11:00:00,1321.95,12900.17,35793.89,11714.51,24893384321.76,946695186.38,939685980.26,-49.65,20.25,Binance Smart Chain,77
Polygon,MATIC,2022-01-02 12:00:00,7968.47,42968.14,25181.57,39717.3,91493695580.81,902103801.43,198367403.97,0.55,-7.37,Binance Smart Chain,52
Polygon,MATIC,2022-01-02 13:00:00,22231.62,41225.92,46348.25,38451.68,6340879515.42,871752052.75,606630068.21,-0.72,-16.36,Ethereum,69
Avalanche,AVAX,2022-01-02 14:00:00,12600.85,31258.49,42053.41,27481.43,65803700863.47,521402092.95,654612757.2,20.53,-36.92,Ethereum,37
Chainlink,LINK,2022-01-02 15:00:00,49272.85,41766.62,37507.16,27241.57,95062931431.21,736265713.16,130811466.99,34.89,25.51,Ethereum,17
Polkadot,DOT,2022-01-02 16:00:00,30078.2,13891.45,41281.04,49466.86,91738130266.05,703378931.35,305507956.03,45.92,-15.24,Binance Smart Chain,73
Polygon,MATIC,2022-01-02 17:00:00,34235.42,49698.69,24298.36,25995.19,69085057102.58,650398136.25,151916840.58,29.44,11.0,Cardano,72
TRON,TRX,2022-01-02 18:00:00,42078.46,5991.95,41598.0,3819.79,41187345468.07,838700037.68,578175862.9,7.36,40.79,Ethereum,65
Chainlink,LINK,2022-01-02 19:00:00,41347.0,34869.79,518.85,26314.62,76050127852.1,415798382.2,698525629.87,-25.0,32.8,Ethereum,98
Polygon,MATIC,2022-01-02 20:00:00,10670.46,40121.82,15764.12,4732.1,71206577642.64,345913782.76,232239600.97,4.62,-2.15,Binance Smart Chain,27
Solana,SOL,2022-01-02 21:00:00,23458.57,27114.24,17558.49,26366.52,95867560649.9,890038864.97,946558865.75,-9.32,37.42,Ethereum,4
Dogecoin,DOGE,2022-01-02 22:00:00,36701.51,14829.41,15381.61,4706.84,13294400136.66,17221011.39,395844115.36,-20.78,-41.78,Ethereum,75
Solana,SOL,2022-01-02 23:00:00,9854.49,16744.16,41456.86,15848.85,66918174408.24,684521541.33,378763627.1,-33.18,21.95,Binance Smart Chain,40
TRON,TRX,2022-01-03 00:00:00,20854.21,17968.53,31323.3,48996.01,30719605152.94,413591185.16,801035832.31,37.68,-36.0,Ethereum,63
Shiba Inu,SHIB,2022-01-03 01:00:00,35104.47,34458.89,45658.76,36568.07,20446890478.68,707499571.35,13998453.76,-23.71,19.11,Cardano,66
Dogecoin,DOGE,2022-01-03 02:00:00,43413.64,13359.48,23319.03,34434.11,32755789977.68,470251654.62,97258402.86,-34.38,-36.51,Binance Smart Chain,62
Avalanche,AVAX,2022-01-03 03:00:00,15013.73,26421.05,38269.41,48466.5,92431599053.11,680558527.42,166211944.65,-14.65,23.99,Ethereum,87
Avalanche,AVAX,2022-01-03 04:00:00,22333.49,43685.29,6818.77,41983.64,54936579394.28,544318374.89,92035267.88,8.1,-19.73,Binance Smart Chain,100
Polygon,MATIC,2022-01-03 05:00:00,10796.96,2369.97,11109.83,35514.49,97783910163.37,202809744.75,605026780.35,6.24,-16.43,Cardano,25
Avalanche,AVAX,2022-01-03 06:00:00,15589.74,28864.28,18741.01,30547.3,89751767080.88,250324783.05,664875229.43,-35.9,49.03,Binance Smart Chain,32
Polkadot,DOT,2022-01-03 07:00:00,13500.26,7936.45,16350.33,18381.67,94647543400.2,300419247.64,589200920.06,-9.34,-26.14,Binance Smart Chain,7
Litecoin,LTC,2022-01-03 08:00:00,37891.86,5469.85,39550.41,14754.39,1119061112.38,296445938.33,878180846.32,25.5,-31.71,Cardano,41
Polygon,MATIC,2022-01-03 09:00:00,46936.38,23167.51,26660.06,1320.17,38479450255.29,954200593.38,812433423.45,27.88,14.53,Ethereum,100
Solana,SOL,2022-01-03 10:00:00,44250.67,10526.48,23980.02,21381.64,88680197912.18,491732983.55,230891459.66,0.84,28.5,Ethereum,17
Avalanche,AVAX,2022-01-03 11:00:00,47564.31,28791.36,10546.89,26745.41,64408314235.15,973331262.04,295071798.95,-40.83,-34.78,Ethereum,18
Shiba Inu,SHIB,2022-01-03 12:00:00,12020.84,17335.38,35695.9,31925.08,55793576240.92,808751865.09,904360209.79,7.84,-35.72,Binance Smart Chain,33
TRON,TRX,2022-01-03 13:00:00,12178.96,27850.35,40114.52,2528.12,49041868821.52,685579768.36,818066019.46,31.55,33.03,Cardano,39
Shiba Inu,SHIB,2022-01-03 14:00:00,10078.05,37803.31,12382.75,39034.67,69072650682.44,822044321.71,812109290.38,9.59,13.44,Ethereum,70
Solana,SOL,2022-01-03 15:00:00,42568.09,21042.25,1605.07,42019.92,91038409685.93,898019896.4,602312022.8,-18.72,23.68,Binance Smart Chain,29
Dogecoin,DOGE,2022-01-03 16:00:00,43949.18,18206.07,45897.1,19164.51,22207807827.98,919041554.75,286125701.57,27.76,-11.83,Binance Smart Chain,37
Dogecoin,DOGE,2022-01-03 17:00:00,33144.76,28523.6,19084.61,41830.47,6438369603.58,3464986.5,391477111.12,16.77,-36.42,Ethereum,100
Avalanche,AVAX,2022-01-03 18:00:00,37165.44,43685.87,26974.37,40891.35,96464077770.34,21502020.0,763979737.66,35.92,-21.13,Cardano,70
Stellar,XLM,2022-01-03 19:00:00,1958.42,32290.73,12747.1,21510.84,56246089580.68,160003280.7,363377475.37,28.34,-42.41,Cardano,87
Dogecoin,DOGE,2022-01-03 20:00:00,2409.61,31734.85,217.1,6337.36,7143840507.31,153402471.1,72221654.16,-15.28,48.36,Binance Smart Chain,32
Dogecoin,DOGE,2022-01-03 21:00:00,18701.66,29971.6,19623.54,34418.91,86698397492.14,73866334.47,385392345.77,44.08,19.42,Cardano,55
Stellar,XLM,2022-01-03 22:00:00,30854.82,742.11,29607.44,8271.84,96470007509.28,71886044.91,50404859.52,37.91,-32.56,Ethereum,9
Litecoin,LTC,2022-01-03 23:00:00,17938.3,31498.51,10619.12,25402.28,25537328249.7,349581959.51,946647708.64,1.06,31.96,Binance Smart Chain,63
Shiba Inu,SHIB,2022-01-04 00:00:00,39179.95,45328.88,41703.4,38583.34,96703002187.74,157858701.63,509513719.95,36.71,25.04,Cardano,72
Stellar,XLM,2022-01-04 01:00:00,34912.72,18895.48,2604.73,26101.15,79452735012.15,858115979.47,713003272.57,11.17,41.03,Binance Smart Chain,14
Chainlink,LINK,2022-01-04 02:00:00,8541.34,32847.63,15491.89,37817.13,8838941201.06,65960815.12,607426215.02,-49.5,-34.18,Ethereum,61
Polkadot,DOT,2022-01-04 03:00:00,42634.52,11351.15,49628.06,10116.75,43640811540.24,297826094.02,811229751.41,-25.09,6.72,Binance Smart Chain,2
Litecoin,LTC,2022-01-04 04:00:00,36834.8,39801.48,34359.27,30246.19,90299227337.3,152301522.31,966192409.58,-6.39,-31.66,Cardano,35
Dogecoin,DOGE,2022-01-04 05:00:00,6178.56,3408.13,13254.41,29810.99,39533932182.53,629350189.51,829335719.88,-46.53,-22.79,Ethereum,26
Avalanche,AVAX,2022-01-04 06:00:00,5025.92,34402.75,25408.58,4754.01,7785601514.64,13567796.4,768854105.11,9.53,-39.22,Ethereum,13
Chainlink,LINK,2022-01-04 07:00:00,2825.07,36597.22,11788.49,20338.18,41613909837.63,905969773.43,229568470.21,21.49,47.1,Cardano,10
Litecoin,LTC,2022-01-04 08:00:00,14386.8,18149.22,25305.6,22882.0,29924662062.73,557644075.89,168566398.98,48.38,-19.28,Cardano,4
Avalanche,AVAX,2022-01-04 09:00:00,27671.24,22317.33,7492.27,2566.98,64976239622.91,271915235.92,533796070.6,-45.1,0.95,Binance Smart Chain,83
Stellar,XLM,2022-01-04 10:00:00,34060.24,44177.5,17416.24,38660.98,26209087874.18,650586553.63,760584291.79,-46.7,-15.58,Binance Smart Chain,40
Stellar,XLM,2022-01-04 11:00:00,43368.16,25145.27,1837.8,10259.35,466701004.25,902334759.27,468477927.92,-40.53,7.85,Cardano,55
Avalanche,AVAX,2022-01-04 12:00:00,23663.27,47735.53,31930.06,40763.18,43177861250.78,535342117.63,380368055.44,4.57,19.51,Binance Smart Chain,5
TRON,TRX,2022-01-04 13:00:00,28047.36,41843.3,29524.1,41503.31,58530371245.16,464048418.07,626392656.94,11.63,-45.32,Ethereum,9
Dogecoin,DOGE,2022-01-04 14:00:00,1211.57,34912.25,11029.24,12938.53,15235034643.63,993216653.48,789515428.82,-39.96,-21.38,Binance Smart Chain,44
Polygon,MATIC,2022-01-04 15:00:00,18032.4,13405.41,43642.52,17273.97,28054223193.51,917301991.08,368104314.91,46.67,-32.27,Cardano,67
Solana,SOL,2022-01-04 16:00:00,27613.04,12683.5,30133.12,32376.95,73150783253.47,371534782.51,32969256.94,-28.12,-40.81,Ethereum,65
Dogecoin,DOGE,2022-01-04 17:00:00,22471.06,27336.14,36830.78,44887.92,8471684862.03,774469814.17,293726163.47,-21.99,48.2,Ethereum,72
Polkadot,DOT,2022-01-04 18:00:00,23036.74,36805.03,17081.08,27969.17,25970492685.37,938157113.81,364598676.62,-22.98,-38.59,Ethereum,6
Stellar,XLM,2022-01-04 19:00:00,26545.68,42593.67,46084.03,33808.82,89255293753.27,337323968.54,62692044.94,-33.44,1.68,Cardano,64
Polkadot,DOT,2022-01-04 20:00:00,17394.45,31419.8,43986.44,25080.57,76798284228.94,97305105.52,723204277.68,18.76,-27.67,Ethereum,54
Avalanche,AVAX,2022-01-04 21:00:00,44620.46,35958.77,42096.47,38184.98,94806922272.06,704824720.93,203099116.14,-42.09,24.82,Cardano,37
Solana,SOL,2022-01-04 22:00:00,10351.93,3670.06,5675.06,45033.23,63316045210.45,298075743.91,788399793.04,0.1,31.78,Cardano,54
Dogecoin,DOGE,2022-01-04 23:00:00,14660.96,31413.1,25473.56,4754.41,68691397308.56,5220893.75,178283498.05,32.78,-44.47,Binance Smart Chain,50
Shiba Inu,SHIB,2022-01-05 00:00:00,3781.81,40690.89,47775.62,20778.78,42712977327.75,912005796.58,133039876.48,-16.56,-14.31,Binance Smart Chain,56
Litecoin,LTC,2022-01-05 01:00:00,24451.54,1321.08,11684.33,37763.33,86219233343.62,817047331.76,791692930.54,-39.55,-44.56,Binance Smart Chain,67
Polkadot,DOT,2022-01-05 02:00:00,40555.31,46405.77,40729.28,14457.39,39057726052.75,111623277.17,621858002.71,27.47,-15.54,Ethereum,9
Shiba Inu,SHIB,2022-01-05 03:00:00,35044.29,7491.2,30033.22,23316.9,35425421573.95,511648210.71,529284787.54,37.54,5.98,Cardano,62
Dogecoin,DOGE,2022-01-05 04:00:00,41340.8,27138.39,35234.44,22691.32,19663170386.01,61588671.24,232545236.44,40.16,4.08,Cardano,99
Solana,SOL,2022-01-05 05:00:00,26756.16,29991.65,11493.5,1018.01,55941367955.63,895706124.89,332670859.56,-28.15,17.11,Ethereum,37
Solana,SOL,2022-01-05 06:00:00,2653.73,47276.64,43184.51,38523.96,52396448219.01,649810176.09,780693930.07,-0.3,0.59,Binance Smart Chain,24
Chainlink,LINK,2022-01-05 07:00:00,21012.09,41476.63,43611.81,8249.51,15922455456.88,491335688.58,227943867.28,-24.42,-18.98,Ethereum,58
Litecoin,LTC,2022-01-05 08:00:00,5394.97,42208.01,8936.06,41722.51,49727600060.3,76101720.44,400516293.44,10.12,-2.87,Binance Smart Chain,64
Avalanche,AVAX,2022-01-05 09:00:00,14247.79,22812.07,12794.72,39968.85,98750484089.86,874366037.03,938681798.18,16.81,27.73,Binance Smart Chain,52
Litecoin,LTC,2022-01-05 10:00:00,6898.81,4088.91,36945.58,19426.16,63339221295.09,861564955.1,477279947.29,-32.91,-15.57,Ethereum,100
Polygon,MATIC,2022-01-05 11:00:00,44796.93,37803.38,24457.63,16336.09,87292727208.29,235065054.34,607507153.37,-40.93,8.55,Ethereum,84
Polygon,MATIC,2022-01-05 12:00:00,41383.87,26621.77,20260.23,19812.39,51050940250.71,976419480.18,484987244.77,17.12,-16.17,Binance Smart Chain,59
Solana,SOL,2022-01-05 13:00:00,20879.28,7295.91,23310.29,28122.31,43057714963.05,348547035.19,415155433.01,15.76,42.01,Ethereum,23
Chainlink,LINK,2022-01-05 14:00:00,26726.28,1623.93,27564.64,6020.42,62516047341.89,418394834.07,362210446.78,-39.16,-48.8,Binance Smart Chain,1
Litecoin,LTC,2022-01-05 15:00:00,30673.22,35206.1,35449.33,20537.41,72475920896.1,154532328.07,327026076.06,-0.08,10.33,Cardano,100
Litecoin,LTC,2022-01-05 16:00:00,23582.45,940.74,29473.52,4301.24,81556115591.68,556057033.93,584065667.1,-35.28,35.23,Binance Smart Chain,6
Shiba Inu,SHIB,2022-01-05 17:00:00,48688.9,695.61,29784.22,47183.51,76272636387.13,919244517.57,489534336.2,19.54,5.48,Ethereum,2
Dogecoin,DOGE,2022-01-05 18:00:00,9585.84,35427.55,36211.13,36978.49,8469425649.79,546714498.9,644129829.1,34.54,0.79,Ethereum,16
Solana,SOL,2022-01-05 19:00:00,30420.25,46012.68,10064.13,46667.04,89827614114.49,632346147.89,353607736.41,23.92,10.95,Cardano,66
Stellar,XLM,2022-01-05 20:00:00,28155.9,36596.77,33853.55,8440.38,17908576942.7,746911879.63,765962901.07,45.13,12.3,Binance Smart Chain,2
Polygon,MATIC,2022-01-05 21:00:00,21708.81,26161.71,19840.52,19693.92,29919303560.92,692959532.62,800492787.02,49.34,-22.35,Cardano,93
Polygon,MATIC,2022-01-05 22:00:00,33046.75,35022.04,15387.54,27538.12,83538603516.22,729106906.18,377976208.12,-49.18,-4.93,Ethereum,58
Chainlink,LINK,2022-01-05 23:00:00,3754.62,41831.87,21343.95,7480.48,40217082865.18,323302332.5,916111385.45,9.01,-16.67,Binance Smart Chain,48
Dogecoin,DOGE,2022-01-06 00:00:00,45311.7,42260.85,5592.74,19046.53,30596033097.66,995627374.41,592215639.27,-3.01,-35.8,Binance Smart Chain,77
Stellar,XLM,2022-01-06 01:00:00,23795.28,31000.8,44980.86,45898.09,57337845643.11,789290313.61,288421961.33,-4.55,28.2,Cardano,11
Litecoin,LTC,2022-01-06 02:00:00,45191.64,29055.54,8189.83,3087.39,57100161534.83,202002893.77,744538412.97,18.7,17.7,Ethereum,39
TRON,TRX,2022-01-06 03:00:00,7362.94,6671.78,29936.76,895.94,35338134431.53,956922479.59,332621241.02,2.47,-29.23,Ethereum,81
Litecoin,LTC,2022-01-06 04:00:00,44382.83,14937.14,35120.19,16682.38,6341912338.62,971486813.36,354716541.9,-14.85,23.44,Ethereum,57
TRON,TRX,2022-01-06 05:00:00,11374.13,39195.18,1681.11,34707.69,31864942017.2,689468941.34,814670786.46,24.59,24.5,Ethereum,93
Solana,SOL,2022-01-06 06:00:00,10778.07,4949.77,4216.5,22265.7,1395560950.56,846884472.05,550974117.48,39.14,22.89,Binance Smart Chain,54
Dogecoin,DOGE,2022-01-06 07:00:00,35057.49,15604.93,1044.06,49282.73,72602992558.66,645869542.84,354820441.9,-35.07,-30.26,Cardano,99
Chainlink,LINK,2022-01-06 08:00:00,34346.72,7009.83,12715.81,40461.37,72487566110.67,753859994.9,519810598.97,31.55,30.86,Binance Smart Chain,1
Avalanche,AVAX,2022-01-06 09:00:00,2162.06,24783.91,17707.83,41231.93,80318704818.08,216826561.49,985808915.42,-29.33,14.73,Ethereum,37
Shiba Inu,SHIB,2022-01-06 10:00:00,37831.62,28546.59,34238.55,48235.65,35527258842.17,176166830.15,954812015.85,-33.92,-30.24,Ethereum,13
Stellar,XLM,2022-01-06 11:00:00,49479.04,42058.57,14041.64,30066.45,37839540847.36,857985346.94,318119535.27,27.08,39.56,Binance Smart Chain,84
Avalanche,AVAX,2022-01-06 12:00:00,18489.98,42782.63,34821.11,9925.86,39520256472.99,345115383.5,519451268.86,-11.01,-9.27,Cardano,17
Stellar,XLM,2022-01-06 13:00:00,15683.82,19798.81,30237.48,38120.16,84494961476.06,637501710.21,587436878.42,11.74,-41.77,Ethereum,7
Litecoin,LTC,2022-01-06 14:00:00,29163.17,2931.4,27238.69,33222.26,89949033353.36,752757427.93,272031430.39,39.81,-24.88,Cardano,44
Litecoin,LTC,2022-01-06 15:00:00,44906.1,30060.0,25348.91,3830.22,6311763553.48,423664633.36,549006746.9,16.75,11.52,Cardano,79
Dogecoin,DOGE,2022-01-06 16:00:00,1550.93,46461.82,7443.58,23441.22,74502166643.85,313441129.23,828562150.73,-48.72,-45.42,Binance Smart Chain,87
Polygon,MATIC,2022-01-06 17:00:00,5366.46,13206.71,11439.98,46926.52,25228933774.52,656384994.38,195413014.59,-28.72,12.9,Ethereum,96
Polygon,MATIC,2022-01-06 18:00:00,13265.29,13903.88,6029.37,5452.1,3371469737.58,317138.98,437642148.57,-40.66,-29.73,Ethereum,9
Avalanche,AVAX,2022-01-06 19:00:00,26312.6,16220.03,13247.29,47780.32,15183128190.24,346008690.09,266851512.85,36.93,-40.7,Binance Smart Chain,88
Stellar,XLM,2022-01-06 20:00:00,30148.4,29841.88,3394.63,10077.23,9746201190.47,173815564.63,761018576.55,-29.87,-41.18,Cardano,29
Dogecoin,DOGE,2022-01-06 21:00:00,1357.75,49123.97,35137.25,47132.27,87722557856.5,754223144.11,93180267.12,1.22,43.49,Ethereum,47
Polkadot,DOT,2022-01-06 22:00:00,3822.84,4635.0,34552.52,30261.62,40610177311.13,855059370.47,990094107.07,-39.01,46.49,Cardano,96
Polygon,MATIC,2022-01-06 23:00:00,6193.07,19305.54,16936.54,23401.04,6823077046.85,27777814.45,603087241.25,36.68,6.39,Ethereum,40
Solana,SOL,2022-01-07 00:00:00,30338.17,7975.5,40505.23,1303.3,6730650061.15,771854824.36,626930587.17,22.32,-13.38,Ethereum,51
Chainlink,LINK,2022-01-07 01:00:00,47380.42,38905.83,27631.73,47365.42,12335318689.16,321461428.89,540226718.71,1.76,-19.99,Cardano,32
TRON,TRX,2022-01-07 02:00:00,18998.05,31493.04,5287.75,17499.03,33629189408.99,209555588.57,867602809.19,-19.18,4.79,Cardano,13
Polkadot,DOT,2022-01-07 03:00:00,13749.59,38392.71,29484.67,11335.13,33498160102.19,947217126.57,454625600.56,9.42,-26.4,Binance Smart Chain,57
Avalanche,AVAX,2022-01-07 04:00:00,44641.34,24312.48,41342.96,37707.14,87026329943.83,457555482.29,154213690.76,38.01,31.15,Cardano,75
Litecoin,LTC,2022-01-07 05:00:00,36437.32,41823.42,26101.53,12973.64,37257832779.15,809823547.06,301698582.03,-40.69,-14.35,Ethereum,11
Polkadot,DOT,2022-01-07 06:00:00,22776.04,34793.12,6637.46,26522.18,15225877147.14,289007742.29,113214861.17,9.12,20.66,Ethereum,9
Solana,SOL,2022-01-07 07:00:00,1485.71,38504.73,20184.84,5394.75,71671130127.79,788149541.22,758179695.93,-17.79,39.52,Cardano,39
Stellar,XLM,2022-01-07 08:00:00,35422.16,29590.94,13734.61,5818.85,34242892764.53,256138002.83,817260477.59,6.64,8.86,Cardano,12
Solana,SOL,2022-01-07 09:00:00,41476.05,6511.03,12227.38,18546.32,30810371103.04,633185412.61,461970915.78,6.57,45.21,Ethereum,57
Avalanche,AVAX,2022-01-07 10:00:00,6602.75,31565.23,18710.47,927.39,71275877301.7,154569902.66,802881315.42,14.65,-14.09,Cardano,16
Shiba Inu,SHIB,2022-01-07 11:00:00,4194.94,10357.34,41746.26,2050.17,51007354171.7,884557403.27,243821338.53,-21.01,-27.88,Binance Smart Chain,26
Polygon,MATIC,2022-01-07 12:00:00,500.02,10200.11,13667.38,45844.98,69219303105.07,936684782.62,362546863.24,34.55,-15.8,Binance Smart Chain,57
Solana,SOL,2022-01-07 13:00:00,33495.35,11863.42,41629.54,8440.74,93922311332.12,66881320.21,138460503.45,-43.96,-35.93,Ethereum,53
Polkadot,DOT,2022-01-07 14:00:00,12488.34,27120.74,45101.95,31805.9,79702797771.01,290760481.41,788189980.49,9.15,-37.65,Binance Smart Chain,65
Litecoin,LTC,2022-01-07 15:00:00,14922.09,10343.77,5364.93,851.31,50450628270.17,986213122.21,167958719.83,3.9,45.49,Cardano,72
Polkadot,DOT,2022-01-07 16:00:00,13026.1,21962.83,19696.03,14021.03,38596559480.89,443955361.24,58667468.74,30.68,3.62,Binance Smart Chain,55
Shiba Inu,SHIB,2022-01-07 17:00:00,13298.39,35733.06,2261.35,36446.52,55155078814.65,813533464.4,701015741.39,-2.24,18.87,Cardano,41
Avalanche,AVAX,2022-01-07 18:00:00,32472.69,15759.38,41004.99,46636.57,63872905474.44,556588218.96,504412257.48,28.62,-29.47,Ethereum,54
Dogecoin,DOGE,2022-01-07 19:00:00,3528.53,23773.08,11277.54,48961.06,10170132565.51,844298345.64,862698371.91,1.75,34.7,Cardano,25
TRON,TRX,2022-01-07 20:00:00,8630.55,10787.08,16059.87,12043.16,71838050290.45,525556899.75,636871887.43,-28.53,-32.09,Ethereum,46
TRON,TRX,2022-01-07 21:00:00,42155.99,7149.2,19465.39,40094.25,74875423832.93,263485424.13,523415007.81,-49.81,-44.51,Cardano,56
Chainlink,LINK,2022-01-07 22:00:00,16297.2,23407.25,29554.44,18471.55,73023923753.31,43468438.95,811653781.4,4.31,20.86,Binance Smart Chain,84
Solana,SOL,2022-01-07 23:00:00,38798.35,34562.06,38217.64,24302.95,24554694140.59,393033145.11,810892915.46,-7.72,-1.93,Cardano,31
Shiba Inu,SHIB,2022-01-08 00:00:00,30915.7,34456.29,3248.5,18194.3,19260423005.23,428053246.52,479684582.86,13.7,36.52,Ethereum,80
Polkadot,DOT,2022-01-08 01:00:00,44916.34,40386.09,23970.34,7910.77,70261118586.91,360769183.15,351140609.32,-22.92,-40.19,Cardano,72
Dogecoin,DOGE,2022-01-08 02:00:00,43629.72,37861.88,3727.51,6825.26,65045189372.42,873278538.04,561692732.0,-3.67,0.55,Ethereum,44
Stellar,XLM,2022-01-08 03:00:00,19147.0,16649.59,6516.02,45043.49,59120837374.74,47836616.47,210439530.05,-1.52,20.01,Cardano,61
